Line; Date; Time; T INA SPECTRO (degC); T INA OSCAR (degC); T INA MOTORS (degC); T INA BATT (degC); T INA DC_BUS (degC); T INA Q7 (degC); T INA 5V (degC); T INA 3V3 (degC)
136; 2023/10/10; 17:02:12; 39,203125; 39,4140625; 38,9375; 39,0703125; 39,4296875; 39,1640625; 39,28125; 38,078125
137; 2023/10/10; 17:02:22; 39,25; 39,4375; 38,9609375; 39,109375; 39,4765625; 39,1875; 39,296875; 38,125
138; 2023/10/10; 17:02:32; 39,296875; 39,453125; 38,9921875; 39,140625; 39,5078125; 39,2109375; 39,3203125; 38,1796875
139; 2023/10/10; 17:02:42; 39,3515625; 39,5546875; 39,0390625; 39,171875; 39,5546875; 39,265625; 39,3671875; 38,2421875
140; 2023/10/10; 17:02:52; 39,3515625; 39,578125; 39,046875; 39,2109375; 39,5859375; 39,2890625; 39,3984375; 38,2734375
141; 2023/10/10; 17:03:02; 39,390625; 39,6171875; 39,140625; 39,2578125; 39,640625; 39,3125; 39,4375; 38,3046875
142; 2023/10/10; 17:03:12; 39,4140625; 39,6484375; 39,140625; 39,296875; 39,6953125; 39,3828125; 39,4765625; 38,328125
143; 2023/10/10; 17:03:22; 39,4609375; 39,6640625; 39,1796875; 39,3125; 39,71875; 39,4140625; 39,5; 38,3515625
144; 2023/10/10; 17:03:32; 39,53125; 39,71875; 39,2265625; 39,3359375; 39,7578125; 39,4609375; 39,5546875; 38,40625
145; 2023/10/10; 17:03:42; 39,5546875; 39,7578125; 39,2421875; 39,375; 39,8046875; 39,4921875; 39,59375; 38,4375
146; 2023/10/10; 17:03:52; 39,5625; 39,7734375; 39,28125; 39,4296875; 39,84375; 39,5546875; 39,640625; 38,46875
147; 2023/10/10; 17:04:02; 39,6015625; 39,8203125; 39,3359375; 39,4921875; 39,875; 39,5859375; 39,6953125; 38,4921875
148; 2023/10/10; 17:04:12; 39,6484375; 39,828125; 39,34375; 39,5234375; 39,890625; 39,609375; 39,71875; 38,5234375
149; 2023/10/10; 17:04:22; 39,703125; 39,8671875; 39,390625; 39,5625; 39,9296875; 39,6484375; 39,7578125; 38,5625
150; 2023/10/10; 17:04:32; 39,71875; 39,8984375; 39,4140625; 39,59375; 39,96875; 39,6875; 39,796875; 38,5859375
151; 2023/10/10; 17:04:42; 39,7421875; 39,9296875; 39,4609375; 39,6328125; 40,0; 39,7109375; 39,8125; 38,609375
152; 2023/10/10; 17:04:53; 39,7734375; 39,9609375; 39,4765625; 39,6640625; 40,03125; 39,7421875; 39,859375; 38,6328125
153; 2023/10/10; 17:05:02; 39,1953125; 39,6015625; 39,515625; 39,6796875; 40,0234375; 39,75; 39,8671875; 38,5
154; 2023/10/10; 17:05:12; 38,453125; 38,71875; 39,40625; 39,6171875; 39,9140625; 39,6640625; 39,75; 37,8515625
155; 2023/10/10; 17:05:22; 37,953125; 38,0625; 39,3125; 39,53125; 39,8046875; 39,5625; 39,6328125; 37,390625
156; 2023/10/10; 17:05:32; 37,5546875; 37,5625; 39,1953125; 39,34375; 39,6796875; 39,4140625; 39,484375; 36,9765625
157; 2023/10/10; 17:05:42; 37,2265625; 37,1328125; 39,03125; 39,234375; 39,4921875; 39,25; 39,34375; 36,578125
158; 2023/10/10; 17:05:52; 36,90625; 36,71875; 38,890625; 39,1171875; 39,3671875; 39,1171875; 39,21875; 36,2578125
159; 2023/10/10; 17:06:02; 36,625; 36,3984375; 38,78125; 38,9609375; 39,21875; 38,96875; 39,046875; 35,984375
160; 2023/10/10; 17:06:12; 36,3984375; 36,0546875; 38,6796875; 38,796875; 39,078125; 38,8203125; 38,9140625; 35,75
161; 2023/10/10; 17:06:22; 36,1484375; 35,8203125; 38,5625; 38,703125; 38,9609375; 38,7421875; 38,8203125; 35,4765625
162; 2023/10/10; 17:06:32; 35,953125; 35,578125; 38,453125; 38,5859375; 38,84375; 38,59375; 38,7109375; 35,2265625
163; 2023/10/10; 17:06:42; 35,7578125; 35,328125; 38,3359375; 38,4765625; 38,75; 38,5; 38,6015625; 35,0625
164; 2023/10/10; 17:06:52; 35,5546875; 35,09375; 38,2265625; 38,375; 38,65625; 38,40625; 38,4921875; 34,8515625
165; 2023/10/10; 17:07:02; 35,3828125; 34,890625; 38,1171875; 38,2578125; 38,5546875; 38,2890625; 38,3984375; 34,6640625
166; 2023/10/10; 17:07:12; 35,2109375; 34,7109375; 38,03125; 38,171875; 38,4453125; 38,1953125; 38,3046875; 34,53125
167; 2023/10/10; 17:07:22; 35,078125; 34,578125; 37,9296875; 38,046875; 38,3671875; 38,0703125; 38,1875; 34,375
168; 2023/10/10; 17:07:32; 34,921875; 34,421875; 37,84375; 37,9375; 38,2421875; 37,9609375; 38,109375; 34,2265625
169; 2023/10/10; 17:07:42; 34,796875; 34,2734375; 37,7421875; 37,859375; 38,1328125; 37,875; 38,03125; 34,0390625
170; 2023/10/10; 17:07:52; 34,6953125; 34,125; 37,671875; 37,7734375; 38,0703125; 37,8125; 37,9453125; 33,9296875
171; 2023/10/10; 17:08:02; 34,5859375; 33,9921875; 37,59375; 37,6953125; 37,984375; 37,7265625; 37,890625; 33,8359375
172; 2023/10/10; 17:08:12; 34,484375; 33,890625; 37,5390625; 37,6171875; 37,9296875; 37,671875; 37,7734375; 33,7109375
173; 2023/10/10; 17:08:22; 34,375; 33,7734375; 37,4765625; 37,5546875; 37,8359375; 37,5859375; 37,7421875; 33,5625
174; 2023/10/10; 17:08:32; 34,2578125; 33,640625; 37,4296875; 37,4609375; 37,765625; 37,5078125; 37,671875; 33,4921875
175; 2023/10/10; 17:08:42; 34,15625; 33,546875; 37,375; 37,4296875; 37,7265625; 37,4375; 37,5859375; 33,421875
176; 2023/10/10; 17:08:52; 34,0859375; 33,453125; 37,3125; 37,359375; 37,65625; 37,3828125; 37,5234375; 33,328125
177; 2023/10/10; 17:09:02; 33,984375; 33,375; 37,2578125; 37,3046875; 37,59375; 37,3515625; 37,4765625; 33,25
178; 2023/10/10; 17:09:12; 33,9453125; 33,3046875; 37,1953125; 37,25; 37,546875; 37,265625; 37,421875; 33,171875
179; 2023/10/10; 17:09:22; 33,84375; 33,234375; 37,1484375; 37,203125; 37,484375; 37,234375; 37,3671875; 33,1015625
180; 2023/10/10; 17:09:32; 33,75; 33,171875; 37,09375; 37,1484375; 37,4375; 37,1796875; 37,3203125; 33,0390625
181; 2023/10/10; 17:09:42; 33,7109375; 33,109375; 37,0390625; 37,09375; 37,40625; 37,125; 37,28125; 32,953125
182; 2023/10/10; 17:09:52; 33,65625; 33,0390625; 37,0; 37,0546875; 37,34375; 37,078125; 37,21875; 32,90625
183; 2023/10/10; 17:10:02; 33,6171875; 32,96875; 36,9609375; 36,9921875; 37,3046875; 37,03125; 37,1796875; 32,8515625
184; 2023/10/10; 17:10:12; 33,5390625; 32,921875; 36,8828125; 36,9453125; 37,25; 36,984375; 37,125; 32,7734375
185; 2023/10/10; 17:10:22; 33,484375; 32,8671875; 36,828125; 36,8984375; 37,2109375; 36,9375; 37,09375; 32,6875
186; 2023/10/10; 17:10:32; 33,4453125; 32,7890625; 36,8125; 36,8671875; 37,171875; 36,8984375; 37,046875; 32,6640625
187; 2023/10/10; 17:10:42; 33,390625; 32,7421875; 36,75; 36,828125; 37,1171875; 36,8515625; 37,0; 32,5859375
188; 2023/10/10; 17:10:52; 33,34375; 32,6953125; 36,703125; 36,75; 37,078125; 36,8046875; 36,953125; 32,5625
189; 2023/10/10; 17:11:02; 33,3046875; 32,609375; 36,6875; 36,7109375; 37,046875; 36,7421875; 36,90625; 32,5078125
190; 2023/10/10; 17:11:12; 33,265625; 32,578125; 36,625; 36,6640625; 37,0078125; 36,703125; 36,84375; 32,46875
191; 2023/10/10; 17:11:22; 33,2265625; 32,546875; 36,6015625; 36,6171875; 36,96875; 36,6640625; 36,8359375; 32,4140625
192; 2023/10/10; 17:11:32; 33,1875; 32,5078125; 36,578125; 36,6015625; 36,9140625; 36,625; 36,7890625; 32,4140625
193; 2023/10/10; 17:11:42; 33,15625; 32,484375; 36,5390625; 36,5546875; 36,875; 36,6171875; 36,7734375; 32,375
194; 2023/10/10; 17:11:52; 33,1015625; 32,4453125; 36,5078125; 36,5234375; 36,828125; 36,5859375; 36,7109375; 32,3359375
195; 2023/10/10; 17:12:02; 33,078125; 32,40625; 36,5078125; 36,5; 36,7890625; 36,53125; 36,703125; 32,2734375
