Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
129; 2023/10/10; 17:01:02; 29172; 63; 8805; 0; 15250; 50; 22; 6
130; 2023/10/10; 17:01:12; 29588; 63; 13468; 0; 16362; 53; 23; 6
131; 2023/10/10; 17:01:22; 28084; 63; 8204; 0; 14679; 49; 22; 6
132; 2023/10/10; 17:01:32; 28595; 63; 10791; 0; 15457; 49; 22; 6
133; 2023/10/10; 17:01:42; 30341; 63; 13005; 0; 16817; 55; 22; 6
134; 2023/10/10; 17:01:52; 30478; 63; 12992; 0; 16524; 52; 22; 6
135; 2023/10/10; 17:02:02; 28731; 63; 13004; 0; 16283; 58; 22; 6
136; 2023/10/10; 17:02:12; 29743; 63; 12975; 0; 16634; 61; 22; 6
137; 2023/10/10; 17:02:22; 28270; 63; 12993; 0; 16125; 58; 22; 6
138; 2023/10/10; 17:02:32; 27958; 63; 13014; 0; 15813; 54; 22; 6
139; 2023/10/10; 17:02:42; 27814; 63; 12998; 0; 15795; 53; 22; 6
140; 2023/10/10; 17:02:52; 28356; 63; 12986; 0; 16149; 59; 22; 6
141; 2023/10/10; 17:03:02; 28691; 63; 12979; 0; 16339; 59; 22; 6
142; 2023/10/10; 17:03:12; 29581; 63; 12957; 0; 16816; 63; 22; 6
143; 2023/10/10; 17:03:22; 29447; 63; 12971; 0; 16451; 54; 22; 6
144; 2023/10/10; 17:03:32; 29654; 63; 12981; 0; 16621; 52; 22; 6
145; 2023/10/10; 17:03:42; 28080; 63; 12978; 0; 16117; 60; 22; 6
146; 2023/10/10; 17:03:52; 28724; 63; 12964; 0; 16373; 60; 22; 6
147; 2023/10/10; 17:04:02; 28428; 63; 12968; 0; 16268; 61; 22; 6
148; 2023/10/10; 17:04:12; 28531; 63; 12966; 0; 16385; 63; 22; 6
149; 2023/10/10; 17:04:22; 28274; 63; 12973; 0; 16216; 61; 22; 6
150; 2023/10/10; 17:04:32; 29600; 63; 12954; 0; 16645; 59; 22; 6
151; 2023/10/10; 17:04:42; 28263; 63; 12982; 0; 16103; 59; 22; 6
152; 2023/10/10; 17:04:53; 28644; 63; 12975; 0; 16269; 60; 22; 6
153; 2023/10/10; 17:05:02; 1048575; 53; 12254; 0; 4939; 47; 23; 7
154; 2023/10/10; 17:05:12; 1048575; 53; 12236; 0; 4762; 47; 23; 7
155; 2023/10/10; 17:05:22; 1048575; 53; 12289; 0; 4793; 49; 23; 7
156; 2023/10/10; 17:05:32; 0; 53; 12248; 0; 4881; 50; 23; 7
157; 2023/10/10; 17:05:42; 0; 63; 12318; 0; 4979; 48; 23; 7
158; 2023/10/10; 17:05:52; 0; 63; 12292; 0; 4953; 46; 23; 7
159; 2023/10/10; 17:06:02; 0; 63; 12325; 0; 4931; 46; 23; 7
160; 2023/10/10; 17:06:12; 1048575; 63; 12312; 0; 4857; 50; 23; 7
161; 2023/10/10; 17:06:22; 1048575; 63; 12322; 0; 4836; 50; 23; 7
162; 2023/10/10; 17:06:32; 1048575; 63; 12334; 0; 4904; 49; 23; 7
163; 2023/10/10; 17:06:42; 1048575; 63; 12343; 0; 5051; 47; 23; 7
164; 2023/10/10; 17:06:52; 0; 63; 12349; 0; 5053; 49; 23; 7
165; 2023/10/10; 17:07:02; 1048575; 63; 12377; 0; 5018; 51; 23; 7
166; 2023/10/10; 17:07:12; 1048574; 63; 12372; 0; 4833; 49; 23; 7
167; 2023/10/10; 17:07:22; 0; 63; 12322; 0; 5063; 51; 23; 7
168; 2023/10/10; 17:07:32; 0; 63; 12321; 0; 4826; 49; 23; 7
169; 2023/10/10; 17:07:42; 0; 62; 12347; 0; 4808; 49; 23; 7
170; 2023/10/10; 17:07:52; 1048574; 63; 12350; 0; 4885; 50; 23; 7
171; 2023/10/10; 17:08:02; 0; 62; 12356; 0; 4934; 47; 23; 7
172; 2023/10/10; 17:08:12; 0; 62; 12347; 0; 4984; 46; 23; 7
173; 2023/10/10; 17:08:22; 0; 63; 12317; 0; 4971; 49; 23; 7
174; 2023/10/10; 17:08:32; 0; 63; 12341; 0; 4798; 50; 23; 7
175; 2023/10/10; 17:08:42; 1048575; 62; 12340; 0; 4787; 49; 23; 7
176; 2023/10/10; 17:08:52; 0; 63; 12351; 0; 4790; 46; 23; 7
177; 2023/10/10; 17:09:02; 0; 62; 12376; 0; 4865; 47; 23; 7
178; 2023/10/10; 17:09:12; 0; 63; 12373; 0; 4903; 50; 23; 7
179; 2023/10/10; 17:09:22; 0; 63; 12344; 0; 4931; 47; 23; 7
180; 2023/10/10; 17:09:32; 0; 63; 12354; 0; 4979; 46; 23; 7
181; 2023/10/10; 17:09:42; 1048575; 53; 12356; 0; 4894; 48; 23; 7
182; 2023/10/10; 17:09:52; 1048575; 53; 12387; 0; 4777; 49; 23; 7
183; 2023/10/10; 17:10:02; 1048575; 53; 12397; 0; 4762; 47; 23; 7
184; 2023/10/10; 17:10:12; 0; 63; 12384; 0; 4829; 47; 23; 7
185; 2023/10/10; 17:10:22; 0; 62; 12355; 0; 4842; 49; 23; 7
186; 2023/10/10; 17:10:32; 0; 63; 12386; 0; 4890; 49; 23; 7
187; 2023/10/10; 17:10:42; 0; 63; 12396; 0; 4990; 48; 23; 7
