Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
299;2023/10/11;00:49:53;12;12;11;11;11;12
300;2023/10/11;00:50:03;12;12;11;12;11;12
301;2023/10/11;00:50:13;11;12;11;11;11;11
302;2023/10/11;00:50:23;12;12;11;11;11;12
303;2023/10/11;00:50:33;11;12;11;11;11;11
304;2023/10/11;00:50:43;12;12;11;11;11;12
305;2023/10/11;00:50:53;11;12;11;11;11;12
306;2023/10/11;00:51:03;11;12;11;11;11;12
307;2023/10/11;00:51:13;12;12;11;11;11;12
308;2023/10/11;00:51:23;12;12;11;11;11;12
309;2023/10/11;00:51:33;11;12;11;11;11;12
310;2023/10/11;00:51:43;11;12;11;11;11;12
311;2023/10/11;00:51:53;11;12;11;11;12;12
312;2023/10/11;00:52:03;11;12;11;12;11;12
313;2023/10/11;00:52:13;12;12;11;11;11;12
314;2023/10/11;00:52:23;12;12;11;12;11;12
315;2023/10/11;00:52:33;11;12;11;11;11;12
316;2023/10/11;00:52:43;12;12;11;11;11;12
317;2023/10/11;00:52:53;11;12;11;11;12;12
318;2023/10/11;00:53:03;11;12;11;11;12;12
319;2023/10/11;00:53:13;12;12;11;11;11;12
320;2023/10/11;00:53:23;12;12;11;11;11;12
321;2023/10/11;00:53:33;12;12;11;12;11;12
322;2023/10/11;00:53:43;12;12;11;11;11;12
323;2023/10/11;00:53:53;11;12;11;11;11;12
324;2023/10/11;00:54:03;12;12;11;11;11;12
325;2023/10/11;00:54:13;11;12;11;11;11;12
326;2023/10/11;00:54:23;11;12;11;11;11;12
327;2023/10/11;00:54:33;12;12;11;11;11;12
328;2023/10/11;00:54:43;12;12;11;11;11;12
329;2023/10/11;00:54:53;12;12;11;11;11;11
330;2023/10/11;00:55:03;11;12;11;11;11;11
331;2023/10/11;00:55:13;12;12;11;11;11;12
332;2023/10/11;00:55:23;12;12;11;11;11;12
333;2023/10/11;00:55:33;11;12;11;11;11;11
334;2023/10/11;00:55:43;12;12;11;12;11;12
335;2023/10/11;00:55:53;12;12;11;11;11;11
336;2023/10/11;00:56:03;12;12;11;11;11;12
337;2023/10/11;00:56:13;12;12;11;11;11;12
338;2023/10/11;00:56:23;12;12;11;11;11;12
339;2023/10/11;00:56:33;12;12;11;11;11;11
340;2023/10/11;00:56:43;11;12;11;11;11;12
341;2023/10/11;00:56:53;12;12;11;11;11;12
342;2023/10/11;00:57:03;12;12;11;11;11;12
343;2023/10/11;00:57:13;11;12;11;11;11;12
344;2023/10/11;00:57:23;11;12;11;11;12;12
345;2023/10/11;00:57:33;12;12;11;11;11;12
346;2023/10/11;00:57:43;12;12;11;11;11;11
347;2023/10/11;00:57:53;11;12;11;11;11;12
348;2023/10/11;00:58:03;11;12;11;11;11;11
349;2023/10/11;00:58:13;11;12;11;11;11;12
350;2023/10/11;00:58:23;11;12;11;11;11;12
351;2023/10/11;00:58:33;12;12;11;12;11;11
352;2023/10/11;00:58:43;11;12;11;11;11;12
353;2023/10/11;00:58:53;11;12;11;11;11;12
354;2023/10/11;00:59:03;11;12;11;11;11;12
355;2023/10/11;00:59:13;12;12;11;11;11;12
356;2023/10/11;00:59:23;12;12;11;11;11;12
357;2023/10/11;00:59:33;12;12;11;11;11;11
358;2023/10/11;00:59:43;11;12;11;11;11;12
359;2023/10/11;00:59:53;11;12;11;11;11;12
360;2023/10/11;01:00:03;11;12;11;11;11;12
361;2023/10/11;01:00:13;11;12;11;11;11;12
362;2023/10/11;01:00:23;12;12;11;11;11;12
363;2023/10/11;01:00:33;11;12;11;11;12;12
364;2023/10/11;01:00:43;12;12;11;11;12;11
365;2023/10/11;01:00:53;11;12;11;11;11;12
366;2023/10/11;01:01:03;12;12;11;11;11;12
367;2023/10/11;01:01:13;12;12;11;11;12;12
368;2023/10/11;01:01:23;11;12;11;11;11;12
369;2023/10/11;01:01:33;11;12;11;11;11;11
370;2023/10/11;01:01:43;12;12;11;11;11;12
371;2023/10/11;01:01:53;11;12;11;11;11;12
372;2023/10/11;01:02:03;12;12;11;11;12;11
373;2023/10/11;01:02:13;12;12;11;11;11;12
374;2023/10/11;01:02:23;12;12;11;11;11;12
375;2023/10/11;01:02:33;12;12;11;11;11;12
376;2023/10/11;01:02:43;11;12;11;11;11;12
377;2023/10/11;01:02:53;11;12;11;11;11;12
378;2023/10/11;01:03:03;11;12;11;11;11;12
379;2023/10/11;01:03:13;11;12;11;11;11;11
380;2023/10/11;01:03:23;12;12;11;11;11;12
381;2023/10/11;01:03:33;11;12;11;11;11;12
382;2023/10/11;01:03:43;12;12;11;11;12;12
383;2023/10/11;01:03:53;12;12;11;11;11;12
384;2023/10/11;01:04:03;11;12;11;11;11;12
385;2023/10/11;01:04:13;11;12;11;11;11;11
386;2023/10/11;01:04:23;11;12;11;11;11;11
387;2023/10/11;01:04:33;12;12;11;11;11;12
388;2023/10/11;01:04:43;12;12;11;11;11;12
389;2023/10/11;01:04:53;12;12;11;12;11;12
