Line; Datetime; PD0 (V); PD1 (V); PD2 (V); PD3 (V); PD4 (V); PD5 (degC)
64; 2023/10/11 14:59:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
65; 2023/10/11 14:59:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
66; 2023/10/11 14:59:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
67; 2023/10/11 14:59:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
68; 2023/10/11 14:59:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
69; 2023/10/11 15:00:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
70; 2023/10/11 15:00:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
71; 2023/10/11 15:00:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
72; 2023/10/11 15:00:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
73; 2023/10/11 15:00:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
74; 2023/10/11 15:00:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
75; 2023/10/11 15:01:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
76; 2023/10/11 15:01:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
77; 2023/10/11 15:01:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
78; 2023/10/11 15:01:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
79; 2023/10/11 15:01:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
80; 2023/10/11 15:01:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
81; 2023/10/11 15:02:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
82; 2023/10/11 15:02:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
83; 2023/10/11 15:02:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
84; 2023/10/11 15:02:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
85; 2023/10/11 15:02:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
86; 2023/10/11 15:02:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
87; 2023/10/11 15:03:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
88; 2023/10/11 15:03:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
89; 2023/10/11 15:03:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
90; 2023/10/11 15:03:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
91; 2023/10/11 15:03:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
92; 2023/10/11 15:03:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
93; 2023/10/11 15:04:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
94; 2023/10/11 15:04:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
95; 2023/10/11 15:04:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
96; 2023/10/11 15:04:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
97; 2023/10/11 15:04:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
98; 2023/10/11 15:04:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
99; 2023/10/11 15:05:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
100; 2023/10/11 15:05:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
101; 2023/10/11 15:05:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
102; 2023/10/11 15:05:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
103; 2023/10/11 15:05:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
104; 2023/10/11 15:05:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
105; 2023/10/11 15:06:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
106; 2023/10/11 15:06:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
107; 2023/10/11 15:06:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
108; 2023/10/11 15:06:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
109; 2023/10/11 15:06:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
110; 2023/10/11 15:06:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
111; 2023/10/11 15:07:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
112; 2023/10/11 15:07:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
113; 2023/10/11 15:07:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
114; 2023/10/11 15:07:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
115; 2023/10/11 15:07:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
116; 2023/10/11 15:07:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
117; 2023/10/11 15:08:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
