Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
26,2023/10/11,04:24:13,1516;2323;1650;2466;2636;2969;1997:1525;1528;1518;1181,,,,,,,,,,,1048575,62,0,0,2525,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,27.53357753357753,27.411477411477414,27.350427350427356,27.83882783882784,27.228327228327224,27.350427350427356,27.350427350427356,0.0,"33,1328125","32,390625","36,28125","36,3515625","36,6015625","36,359375","36,46875","32,359375"
27,2023/10/11,04:34:23,1515;2322;1650;2466;2634;2968;1997:1526;1526;1519;1181,,,,,,,,,,,0,62,0,0,2571,48,22,7,4.9072265625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.5946275946276,27.350427350427356,27.289377289377285,27.83882783882784,27.289377289377285,27.350427350427356,27.350427350427356,0.0,"33,1640625","32,4140625","36,3203125","36,375","36,609375","36,3671875","36,5078125","32,390625"
28,2023/10/11,04:44:33,1516;2323;1649;2465;2636;2968;1997:1527;1527;1519;1181,,,,,,,,,,,0,62,0,0,2539,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.5946275946276,27.411477411477414,27.289377289377285,27.77777777777778,27.289377289377285,27.350427350427356,27.472527472527474,0.0,"33,1953125","32,484375","36,359375","36,4140625","36,65625","36,4375","36,5390625","32,4453125"
29,2023/10/11,04:54:43,1515;2324;1650;2465;2635;2968;1997:1527;1528;1519;1181,,,,,,,,,,,0,62,0,0,2671,46,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.655677655677657,27.411477411477414,27.350427350427356,27.83882783882784,27.411477411477414,27.411477411477414,27.350427350427356,0.0,"33,234375","32,4921875","36,390625","36,4453125","36,6796875","36,4765625","36,578125","32,4375"
30,2023/10/11,05:04:53,1516;2323;1650;2465;2634;2967;1997:1528;1528;1520;1182,,,,,,,,,,,1048575,62,0,0,2610,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.77777777777778,27.53357753357753,27.350427350427356,27.96092796092796,27.472527472527474,27.411477411477414,27.472527472527474,0.0,"33,2734375","32,546875","36,4296875","36,4921875","36,734375","36,5","36,625","32,5"
31,2023/10/11,05:15:03,1516;2324;1651;2465;2635;2967;1997:1528;1530;1520;1182,,,,,,,,,,,1048575,62,0,0,2440,43,22,6,0.0146484375,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.83882783882784,27.5946275946276,27.53357753357753,28.021978021978025,27.5946275946276,27.53357753357753,27.5946275946276,0.0,"33,3359375","32,609375","36,546875","36,5390625","36,796875","36,546875","36,71875","32,5703125"
32,2023/10/11,05:25:13,1515;2324;1650;2465;2635;2967;1997:1529;1529;1522;1182,,,,,,,,,,,1048575,62,0,0,2534,49,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,27.83882783882784,27.655677655677657,27.5946275946276,28.083028083028083,27.5946275946276,27.53357753357753,27.5946275946276,0.0,"33,375","32,6328125","36,546875","36,5859375","36,875","36,5859375","36,7421875","32,625"
33,2023/10/11,05:35:23,1515;2322;1650;2465;2635;2967;1997:1529;1530;1522;1181,,,,,,,,,,,1048575,62,0,0,2620,45,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.83882783882784,27.71672771672772,27.5946275946276,28.144078144078144,27.655677655677657,27.5946275946276,27.71672771672772,0.0,"33,390625","32,6484375","36,609375","36,6171875","36,8828125","36,625","36,7578125","32,6328125"
34,2023/10/11,05:45:33,1515;2322;1649;2466;2634;2966;1997:1529;1530;1521;1182,,,,,,,,,,,1048575,52,0,0,2515,49,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.8998778998779,27.71672771672772,27.5946275946276,28.205128205128204,27.5946275946276,27.655677655677657,27.71672771672772,0.0,"33,4140625","32,6875","36,59375","36,65625","36,90625","36,640625","36,7734375","32,6484375"
35,2023/10/11,05:55:43,1515;2323;1650;2466;2635;2969;1997:1529;1531;1522;1181,,,,,,,,,,,1048575,62,0,0,2543,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.96092796092796,27.5946275946276,27.53357753357753,28.144078144078144,27.53357753357753,27.53357753357753,27.655677655677657,0.0,"33,4296875","32,703125","36,6328125","36,65625","36,9375","36,640625","36,7890625","32,671875"
36,2023/10/11,06:05:53,1516;2324;1650;2466;2635;2968;1997:1530;1531;1522;1181,,,,,,,,,,,0,63,0,0,2572,48,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.96092796092796,27.77777777777778,27.655677655677657,28.144078144078144,27.71672771672772,27.5946275946276,27.77777777777778,0.0,"33,453125","32,71875","36,6484375","36,671875","36,953125","36,671875","36,796875","32,6875"
37,2023/10/11,06:16:03,1514;2322;1650;2465;2634;2967;1997:1531;1531;1523;1181,,,,,,,,,,,0,62,0,0,2555,49,22,7,4.903564453125,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.8998778998779,27.71672771672772,27.655677655677657,28.144078144078144,27.655677655677657,27.5946275946276,27.71672771672772,0.0,"33,46875","32,765625","36,6484375","36,703125","36,984375","36,7109375","36,828125","32,7109375"
38,2023/10/11,06:26:13,1515;2323;1650;2465;2634;2966;1997:1531;1532;1523;1182,,,,,,,,,,,1048575,62,0,0,2547,42,22,6,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.96092796092796,27.77777777777778,27.655677655677657,28.205128205128204,27.655677655677657,27.5946275946276,27.71672771672772,0.0,"33,5","32,8046875","36,6953125","36,75","37,03125","36,78125","36,8828125","32,7578125"
39,2023/10/11,06:36:23,1516;2324;1649;2466;2635;2967;1997:1531;1532;1523;1181,,,,,,,,,,,1,62,0,0,2588,49,22,7,0.0146484375,0.015869140625,0.0146484375,0.015869140625,0.015869140625,0.015869140625,28.021978021978025,27.96092796092796,27.77777777777778,28.32722832722833,27.83882783882784,27.77777777777778,27.77777777777778,0.0,"33,546875","32,8828125","36,734375","36,8125","37,0703125","36,828125","36,9453125","32,8046875"
40,2023/10/11,06:46:33,1514;2322;1649;2465;2635;2967;1997:1533;1533;1524;1182,,,,,,,,,,,1048574,62,0,0,2711,47,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.083028083028083,27.83882783882784,27.77777777777778,28.266178266178265,27.83882783882784,27.83882783882784,27.83882783882784,0.0,"33,5859375","32,9140625","36,7734375","36,8671875","37,109375","36,875","37,0078125","32,8671875"
41,2023/10/11,06:56:43,1515;2322;1650;2466;2634;2967;1997:1532;1533;1525;1182,,,,,,,,,,,0,52,0,0,2638,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.021978021978025,27.83882783882784,27.77777777777778,28.266178266178265,27.83882783882784,27.77777777777778,27.8998778998779,0.0,"33,6328125","32,9375","36,8515625","36,8984375","37,15625","36,8984375","37,03125","32,8984375"
42,2023/10/11,07:06:53,1514;2322;1651;2465;2635;2966;1997:1532;1533;1524;1182,,,,,,,,,,,0,63,0,0,2678,45,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,28.144078144078144,27.96092796092796,27.83882783882784,28.449328449328448,27.83882783882784,27.83882783882784,27.8998778998779,0.0,"33,65625","32,9609375","36,8515625","36,921875","37,1796875","36,921875","37,0546875","32,9296875"
