Line, Datetime, PT0 (degC), PT1 (degC), PT2 (degC), PT3 (degC), PT4 (degC), PT5 (degC), PT6 (degC), PT7 (degC)
2034, 2023/10/10 22:18:33, 26.068376068376068, 25.824175824175825, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2035, 2023/10/10 22:18:43, 26.068376068376068, 25.946275946275946, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2036, 2023/10/10 22:18:53, 26.12942612942613, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2037, 2023/10/10 22:19:03, 26.068376068376068, 25.824175824175825, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.824175824175825, 0.0
2038, 2023/10/10 22:19:13, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2039, 2023/10/10 22:19:23, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.76312576312576, 25.824175824175825, 25.946275946275946, 0.0
2040, 2023/10/10 22:19:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.946275946275946, 0.0
2041, 2023/10/10 22:19:43, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2042, 2023/10/10 22:19:53, 26.068376068376068, 25.885225885225886, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.824175824175825, 0.0
2043, 2023/10/10 22:20:03, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2044, 2023/10/10 22:20:13, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.946275946275946, 0.0
2045, 2023/10/10 22:20:23, 26.068376068376068, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2046, 2023/10/10 22:20:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.946275946275946, 0.0
2047, 2023/10/10 22:20:43, 26.19047619047619, 25.946275946275946, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2048, 2023/10/10 22:20:53, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2049, 2023/10/10 22:21:03, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2050, 2023/10/10 22:21:13, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2051, 2023/10/10 22:21:23, 26.19047619047619, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2052, 2023/10/10 22:21:33, 26.12942612942613, 26.007326007326007, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2053, 2023/10/10 22:21:43, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2054, 2023/10/10 22:21:53, 26.19047619047619, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2055, 2023/10/10 22:22:03, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.76312576312576, 25.824175824175825, 25.946275946275946, 0.0
2056, 2023/10/10 22:22:13, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2057, 2023/10/10 22:22:23, 26.19047619047619, 25.885225885225886, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.946275946275946, 0.0
2058, 2023/10/10 22:22:33, 26.19047619047619, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 26.007326007326007, 0.0
2059, 2023/10/10 22:22:43, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2060, 2023/10/10 22:22:53, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2061, 2023/10/10 22:23:03, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2062, 2023/10/10 22:23:13, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2063, 2023/10/10 22:23:23, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.824175824175825, 0.0
2064, 2023/10/10 22:23:33, 26.12942612942613, 25.885225885225886, 25.946275946275946, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2065, 2023/10/10 22:23:43, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2066, 2023/10/10 22:23:53, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2067, 2023/10/10 22:24:03, 26.12942612942613, 25.824175824175825, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.824175824175825, 0.0
2068, 2023/10/10 22:24:13, 26.068376068376068, 25.885225885225886, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.824175824175825, 0.0
2069, 2023/10/10 22:24:23, 26.12942612942613, 26.007326007326007, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.946275946275946, 0.0
2070, 2023/10/10 22:24:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2071, 2023/10/10 22:24:43, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2072, 2023/10/10 22:24:53, 26.12942612942613, 25.824175824175825, 25.885225885225886, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2073, 2023/10/10 22:25:03, 26.068376068376068, 25.946275946275946, 25.824175824175825, 26.31257631257631, 25.824175824175825, 25.76312576312576, 25.824175824175825, 0.0
2074, 2023/10/10 22:25:13, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2075, 2023/10/10 22:25:23, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.885225885225886, 0.0
2076, 2023/10/10 22:25:33, 26.19047619047619, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2077, 2023/10/10 22:25:43, 26.068376068376068, 25.885225885225886, 25.76312576312576, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2078, 2023/10/10 22:25:53, 26.25152625152625, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2079, 2023/10/10 22:26:03, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2080, 2023/10/10 22:26:13, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.824175824175825, 26.007326007326007, 0.0
2081, 2023/10/10 22:26:23, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.885225885225886, 25.946275946275946, 0.0
2082, 2023/10/10 22:26:33, 26.068376068376068, 25.885225885225886, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2083, 2023/10/10 22:26:43, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.31257631257631, 25.885225885225886, 25.76312576312576, 25.885225885225886, 0.0
2084, 2023/10/10 22:26:53, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.824175824175825, 0.0
2085, 2023/10/10 22:27:03, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2086, 2023/10/10 22:27:13, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2087, 2023/10/10 22:27:23, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.824175824175825, 0.0
2088, 2023/10/10 22:27:33, 26.19047619047619, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2089, 2023/10/10 22:27:43, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2090, 2023/10/10 22:27:53, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.885225885225886, 25.885225885225886, 0.0
2091, 2023/10/10 22:28:03, 26.068376068376068, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.885225885225886, 0.0
2092, 2023/10/10 22:28:13, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.824175824175825, 0.0
2093, 2023/10/10 22:28:23, 26.068376068376068, 25.885225885225886, 25.76312576312576, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2094, 2023/10/10 22:28:33, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2095, 2023/10/10 22:28:43, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.885225885225886, 25.946275946275946, 0.0
2096, 2023/10/10 22:28:53, 26.12942612942613, 25.824175824175825, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.885225885225886, 25.885225885225886, 0.0
2097, 2023/10/10 22:29:03, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2098, 2023/10/10 22:29:13, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2099, 2023/10/10 22:29:23, 26.068376068376068, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.885225885225886, 0.0
2100, 2023/10/10 22:29:33, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2101, 2023/10/10 22:29:43, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.76312576312576, 25.885225885225886, 0.0
2102, 2023/10/10 22:29:53, 26.19047619047619, 25.946275946275946, 25.824175824175825, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.885225885225886, 0.0
2103, 2023/10/10 22:30:03, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.885225885225886, 0.0
2104, 2023/10/10 22:30:13, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.824175824175825, 0.0
2105, 2023/10/10 22:30:23, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2106, 2023/10/10 22:30:33, 26.12942612942613, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2107, 2023/10/10 22:30:43, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2108, 2023/10/10 22:30:53, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.946275946275946, 25.946275946275946, 0.0
2109, 2023/10/10 22:31:03, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.76312576312576, 25.824175824175825, 0.0
2110, 2023/10/10 22:31:13, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.824175824175825, 0.0
2111, 2023/10/10 22:31:23, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2112, 2023/10/10 22:31:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.31257631257631, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2113, 2023/10/10 22:31:43, 26.25152625152625, 25.946275946275946, 25.946275946275946, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2114, 2023/10/10 22:31:53, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2115, 2023/10/10 22:32:03, 26.19047619047619, 25.946275946275946, 25.946275946275946, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2116, 2023/10/10 22:32:13, 26.19047619047619, 25.885225885225886, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.885225885225886, 0.0
2117, 2023/10/10 22:32:23, 26.068376068376068, 25.885225885225886, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.76312576312576, 25.885225885225886, 0.0
2118, 2023/10/10 22:32:33, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 26.007326007326007, 0.0
2119, 2023/10/10 22:32:43, 26.19047619047619, 26.007326007326007, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2120, 2023/10/10 22:32:53, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.495726495726494, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
